,constructorId,positionOrder,year,count
118,4,7,2020,3
115,4,6,2020,2
112,4,5,2020,3
109,4,4,2020,3
107,4,3,2020,2
429,210,10,2020,1
104,3,20,2020,1
512,213,12,2020,4
100,3,19,2020,4
96,3,18,2020,6
514,213,13,2020,1
92,3,17,2020,3
6,1,4,2020,3
88,3,16,2020,6
205,6,8,2020,1
256,9,8,2020,2
124,4,9,2020,3
121,4,8,2020,6
274,9,17,2020,3
261,9,10,2020,1
264,9,12,2020,1
265,9,13,2020,1
268,9,15,2020,2
147,4,19,2020,2
127,4,10,2020,1
144,4,18,2020,2
25,1,9,2020,3
280,9,19,2020,2
137,4,14,2020,3
284,9,20,2020,1
135,4,13,2020,1
130,4,11,2020,2
485,211,13,2020,2
534,214,10,2021,4
538,214,16,2021,1
535,214,11,2021,1
442,210,14,2021,3
539,214,17,2021,1
537,214,14,2021,3
439,210,13,2021,1
536,214,13,2021,4
540,214,18,2021,1
504,213,7,2021,4
532,214,8,2021,5
502,213,6,2021,5
500,213,5,2021,2
507,213,9,2021,3
498,213,4,2021,3
509,213,10,2021,4
496,213,3,2021,1
511,213,11,2021,2
513,213,12,2021,2
515,213,13,2021,3
516,213,14,2021,2
518,213,15,2021,3
519,213,16,2021,1
520,213,17,2021,2
465,210,20,2021,6
523,213,19,2021,2
461,210,19,2021,6
458,210,18,2021,11
525,213,20,2021,5
454,210,17,2021,7
526,214,1,2021,1
527,214,3,2021,1
450,210,16,2021,7
528,214,4,2021,2
529,214,5,2021,1
530,214,6,2021,3
446,210,15,2021,1
531,214,7,2021,3
533,214,9,2021,9
0,1,1,2021,1
271,9,16,2021,1
415,131,20,2021,1
93,3,17,2021,6
97,3,18,2021,4
101,3,19,2021,5
105,3,20,2021,1
185,6,2,2021,2
189,6,3,2021,3
193,6,4,2021,6
197,6,5,2021,5
201,6,6,2021,7
203,6,7,2021,6
89,3,16,2021,8
206,6,8,2021,7
210,6,11,2021,2
215,6,15,2021,1
217,6,16,2021,1
223,6,18,2021,1
228,6,20,2021,1
232,9,1,2021,11
236,9,2,2021,8
240,9,3,2021,4
244,9,4,2021,5
248,9,5,2021,3
208,6,10,2021,2
252,9,6,2021,1
85,3,15,2021,3
77,3,13,2021,1
2,1,2,2021,1
5,1,3,2021,3
7,1,4,2021,4
11,1,5,2021,7
14,1,6,2021,3
18,1,7,2021,5
22,1,8,2021,2
26,1,9,2021,3
29,1,10,2021,4
32,1,11,2021,2
81,3,14,2021,5
35,1,12,2021,4
42,1,14,2021,1
45,1,15,2021,1
55,1,19,2021,1
59,3,2,2021,1
60,3,7,2021,1
62,3,8,2021,1
64,3,9,2021,2
67,3,10,2021,1
71,3,11,2021,2
75,3,12,2021,3
39,1,13,2021,2
257,9,8,2021,1
259,9,9,2021,2
263,9,11,2021,1
362,117,12,2021,5
363,117,13,2021,5
364,117,14,2021,2
365,117,15,2021,2
366,117,16,2021,1
367,117,17,2021,1
368,117,18,2021,1
369,117,19,2021,3
370,117,20,2021,3
374,131,1,2021,9
361,117,11,2021,5
378,131,2,2021,9
386,131,4,2021,2
390,131,5,2021,2
391,131,6,2021,2
395,131,7,2021,1
402,131,12,2021,2
406,131,15,2021,2
408,131,16,2021,1
409,131,17,2021,1
410,131,18,2021,1
413,131,19,2021,1
382,131,3,2021,10
360,117,10,2021,4
359,117,9,2021,2
358,117,8,2021,4
269,9,15,2021,1
541,214,19,2021,2
275,9,17,2021,2
278,9,18,2021,2
281,9,19,2021,1
285,9,20,2021,1
319,51,8,2021,2
322,51,9,2021,1
325,51,10,2021,3
328,51,11,2021,7
331,51,12,2021,5
334,51,13,2021,6
337,51,14,2021,6
340,51,15,2021,8
343,51,16,2021,1
346,51,17,2021,2
349,51,18,2021,1
351,51,19,2021,1
353,51,20,2021,1
354,117,2,2021,1
355,117,5,2021,2
356,117,6,2021,1
357,117,7,2021,2
435,210,12,2021,1
542,214,20,2021,2
